Ver,11
DevCount,1,TextFormat,1
DevName,XBPQDYZ,LinkCount,316
NodePath,TagName,TagDesc,ParName,LinkDesc,驱动标志,modbus驱动标志,位起始位,扫描周期,使能位,数据类型,I/O数据地址,是否位访问,表示读取数据时需要获取的数据长度,高字节在前0低字节在前1高位在前,读写标志,取反(读出时),文件号,显示数据的格式,显示小数位的个数(若为一位 则 表示字节内部的高低字节 0 低字节 1 高字节)
西部片区调压站\,testPDT_0101_H,至新捷调压区差压_H报警,PV,DO3198,DO3198,-9999,0,0,0,1,3197,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0101_HH,至新捷调压区差压_HH报警,PV,DO3199,DO3199,-9999,0,0,0,1,3198,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0101_whz,至新捷调压区差压_维护设定,PV,HR Float:3255,HR Float:3255,-9999,0,0,0,2,3254,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0101_whzzt,至新捷调压区差压_维护使能,PV,DO3200,DO3200,-9999,0,0,0,1,3199,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0102,至新捷调压区差压,PV,HR Float:3257,HR Float:3257,-9999,0,0,0,2,3256,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_LoLoLimit,至新捷调压区差压_SLL设定,PV,HR Float:3259,HR Float:3259,-9999,0,0,0,2,3258,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_LoLimit,至新捷调压区差压_SL设定,PV,HR Float:3261,HR Float:3261,-9999,0,0,0,2,3260,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_HiLimit,至新捷调压区差压_SH设定,PV,HR Float:3263,HR Float:3263,-9999,0,0,0,2,3262,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_HiHiLimit,至新捷调压区差压_SHH设定,PV,HR Float:3265,HR Float:3265,-9999,0,0,0,2,3264,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_LL,至新捷调压区差压_LL报警,PV,DO3201,DO3201,-9999,0,0,0,1,3200,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0102_L,至新捷调压区差压_L报警,PV,DO3202,DO3202,-9999,0,0,0,1,3201,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0102_H,至新捷调压区差压_H报警,PV,DO3203,DO3203,-9999,0,0,0,1,3202,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0102_HH,至新捷调压区差压_HH报警,PV,DO3204,DO3204,-9999,0,0,0,1,3203,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0102_whz,至新捷调压区差压_维护设定,PV,HR Float:3267,HR Float:3267,-9999,0,0,0,2,3266,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_whzzt,至新捷调压区差压_维护使能,PV,DO3205,DO3205,-9999,0,0,0,1,3204,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_1,预留点位_1_3_AI_1,PV,HR Float:3269,HR Float:3269,-9999,0,0,0,2,3268,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_1_LoLoLimit,预留点位_1_3_AI_1_SLL设定,PV,HR Float:3271,HR Float:3271,-9999,0,0,0,2,3270,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_1_LoLimit,预留点位_1_3_AI_1_SL设定,PV,HR Float:3273,HR Float:3273,-9999,0,0,0,2,3272,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_1_HiLimit,预留点位_1_3_AI_1_SH设定,PV,HR Float:3275,HR Float:3275,-9999,0,0,0,2,3274,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_1_HiHiLimit,预留点位_1_3_AI_1_SHH设定,PV,HR Float:3277,HR Float:3277,-9999,0,0,0,2,3276,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_1_LL,预留点位_1_3_AI_1_LL报警,PV,DO3206,DO3206,-9999,0,0,0,1,3205,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_1_L,预留点位_1_3_AI_1_L报警,PV,DO3207,DO3207,-9999,0,0,0,1,3206,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_1_H,预留点位_1_3_AI_1_H报警,PV,DO3208,DO3208,-9999,0,0,0,1,3207,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_1_HH,预留点位_1_3_AI_1_HH报警,PV,DO3209,DO3209,-9999,0,0,0,1,3208,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_1_whz,预留点位_1_3_AI_1_维护设定,PV,HR Float:3279,HR Float:3279,-9999,0,0,0,2,3278,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_1_whzzt,预留点位_1_3_AI_1_维护使能,PV,DO3210,DO3210,-9999,0,0,0,1,3209,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_2,预留点位_1_3_AI_2,PV,HR Float:3281,HR Float:3281,-9999,0,0,0,2,3280,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_2_LoLoLimit,预留点位_1_3_AI_2_SLL设定,PV,HR Float:3283,HR Float:3283,-9999,0,0,0,2,3282,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_2_LoLimit,预留点位_1_3_AI_2_SL设定,PV,HR Float:3285,HR Float:3285,-9999,0,0,0,2,3284,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_2_HiLimit,预留点位_1_3_AI_2_SH设定,PV,HR Float:3287,HR Float:3287,-9999,0,0,0,2,3286,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_2_HiHiLimit,预留点位_1_3_AI_2_SHH设定,PV,HR Float:3289,HR Float:3289,-9999,0,0,0,2,3288,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_2_LL,预留点位_1_3_AI_2_LL报警,PV,DO3211,DO3211,-9999,0,0,0,1,3210,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_2_L,预留点位_1_3_AI_2_L报警,PV,DO3212,DO3212,-9999,0,0,0,1,3211,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_2_H,预留点位_1_3_AI_2_H报警,PV,DO3213,DO3213,-9999,0,0,0,1,3212,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_2_HH,预留点位_1_3_AI_2_HH报警,PV,DO3214,DO3214,-9999,0,0,0,1,3213,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_2_whz,预留点位_1_3_AI_2_维护设定,PV,HR Float:3291,HR Float:3291,-9999,0,0,0,2,3290,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_2_whzzt,预留点位_1_3_AI_2_维护使能,PV,DO3215,DO3215,-9999,0,0,0,1,3214,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_3,预留点位_1_3_AI_3,PV,HR Float:3293,HR Float:3293,-9999,0,0,0,2,3292,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_3_LoLoLimit,预留点位_1_3_AI_3_SLL设定,PV,HR Float:3295,HR Float:3295,-9999,0,0,0,2,3294,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_3_LoLimit,预留点位_1_3_AI_3_SL设定,PV,HR Float:3297,HR Float:3297,-9999,0,0,0,2,3296,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_3_HiLimit,预留点位_1_3_AI_3_SH设定,PV,HR Float:3299,HR Float:3299,-9999,0,0,0,2,3298,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_3_HiHiLimit,预留点位_1_3_AI_3_SHH设定,PV,HR Float:3301,HR Float:3301,-9999,0,0,0,2,3300,0,4,0,0,1,7,0,0
西部片区调压站\,testYLDW1_3_AI_3_LL,预留点位_1_3_AI_3_LL报警,PV,DO3216,DO3216,-9999,0,0,0,1,3215,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_3_L,预留点位_1_3_AI_3_L报警,PV,DO3217,DO3217,-9999,0,0,0,1,3216,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_3_H,预留点位_1_3_AI_3_H报警,PV,DO3218,DO3218,-9999,0,0,0,1,3217,0,1,0,0,1,2,0,0
西部片区调压站\,testYLDW1_3_AI_3_HH,预留点位_1_3_AI_3_HH报警,PV,DO3219,DO3219,-9999,0,0,0,1,3218,0,1,0,0,1,2,0,0
