Ver,11
DevCount,1,TextFormat,1
DevName,XBPQTYZ,LinkCount,205
NodePath,TagName,TagDesc,ParName,LinkDesc,连接标志,modbus批量建点标志,位运算结束位,批量下置,矢能点,操作类型,I/O数据地址,是否有位操作,表示驱动程序需要读取的数据长,单字节是0低八位；1高八位；,读写标志,数据实际长度,文件号,表示数据的格式,表示按位操作的那一位 或 单字节操作的高低字节 0 低字节 1 高字节
西部片区调压站\,B280902AM_ESDV104,广汇出口放空电动阀手自动状态,PV,DO3129,DO3129,-9999,0,0,0,1,3128,0,1,0,0,1,1,2,0
西部片区调压站\,B280902DA_ESDV104,广汇出口放空电动阀开关阀门超时报警,PV,DO3130,DO3130,-9999,0,0,0,1,3129,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV104_OF,广汇出口放空电动阀关到位,PV,DO3131,DO3131,-9999,0,0,0,1,3130,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV104_CF,广汇出口放空电动阀开到位,PV,DO3132,DO3132,-9999,0,0,0,1,3131,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV104_RL,广汇出口放空电动阀就地/远程状态指示,PV,DO3133,DO3133,-9999,0,0,0,1,3132,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV104_F,广汇出口放空电动阀综合故障报警,PV,DO3134,DO3134,-9999,0,0,0,1,3133,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSC_ESDV104,广汇出口放空电动阀关阀动作,PV,DO3135,DO3135,-9999,0,0,0,1,3134,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSO_ESDV104,广汇出口放空电动阀开阀动作,PV,DO3136,DO3136,-9999,0,0,0,1,3135,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_AM_ESDV105,广汇出口电动阀中心手自动切换控制,PV,DO3137,DO3137,-9999,0,0,0,1,3136,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_AM_ESDV105,广汇出口电动阀站控手自动切换控制,PV,DO3138,DO3138,-9999,0,0,0,1,3137,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_OPEN_ESDV105,广汇出口电动阀中心开控制,PV,DO3139,DO3139,-9999,0,0,0,1,3138,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_OPEN_ESDV105,广汇出口电动阀站控开控制,PV,DO3140,DO3140,-9999,0,0,0,1,3139,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_CLOSE_ESDV105,广汇出口电动阀中心关控制,PV,DO3141,DO3141,-9999,0,0,0,1,3140,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_CLOSE_ESDV105,广汇出口电动阀站控关控制,PV,DO3142,DO3142,-9999,0,0,0,1,3141,0,1,0,0,1,1,2,0
西部片区调压站\,B280902AM_ESDV105,广汇出口电动阀手自动状态,PV,DO3143,DO3143,-9999,0,0,0,1,3142,0,1,0,0,1,1,2,0
西部片区调压站\,B280902DA_ESDV105,广汇出口电动阀开关阀门超时报警,PV,DO3144,DO3144,-9999,0,0,0,1,3143,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV105_OF,广汇出口电动阀关到位,PV,DO3145,DO3145,-9999,0,0,0,1,3144,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV105_CF,广汇出口电动阀开到位,PV,DO3146,DO3146,-9999,0,0,0,1,3145,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV105_RL,广汇出口电动阀就地/远程状态指示,PV,DO3147,DO3147,-9999,0,0,0,1,3146,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV105_F,广汇出口电动阀综合故障报警,PV,DO3148,DO3148,-9999,0,0,0,1,3147,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSC_ESDV105,广汇出口电动阀关阀动作,PV,DO3149,DO3149,-9999,0,0,0,1,3148,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSO_ESDV105,广汇出口电动阀开阀动作,PV,DO3150,DO3150,-9999,0,0,0,1,3149,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_AM_ESDV106,新捷出口电动阀中心手自动切换控制,PV,DO3151,DO3151,-9999,0,0,0,1,3150,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_AM_ESDV106,新捷出口电动阀站控手自动切换控制,PV,DO3152,DO3152,-9999,0,0,0,1,3151,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_OPEN_ESDV106,新捷出口电动阀中心开控制,PV,DO3153,DO3153,-9999,0,0,0,1,3152,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_OPEN_ESDV106,新捷出口电动阀站控开控制,PV,DO3154,DO3154,-9999,0,0,0,1,3153,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_CLOSE_ESDV106,新捷出口电动阀中心关控制,PV,DO3155,DO3155,-9999,0,0,0,1,3154,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_CLOSE_ESDV106,新捷出口电动阀站控关控制,PV,DO3156,DO3156,-9999,0,0,0,1,3155,0,1,0,0,1,1,2,0
西部片区调压站\,B280902AM_ESDV106,新捷出口电动阀手自动状态,PV,DO3157,DO3157,-9999,0,0,0,1,3156,0,1,0,0,1,1,2,0
西部片区调压站\,B280902DA_ESDV106,新捷出口电动阀开关阀门超时报警,PV,DO3158,DO3158,-9999,0,0,0,1,3157,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV106_OF,新捷出口电动阀关到位,PV,DO3159,DO3159,-9999,0,0,0,1,3158,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV106_CF,新捷出口电动阀开到位,PV,DO3160,DO3160,-9999,0,0,0,1,3159,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0101_MAIN_EN,进站压力维护值开关,PV,DO3161,DO3161,-9999,0,0,0,1,3160,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0101_HH,进站压力高高报,PV,DO3162,DO3162,-9999,0,0,0,1,3161,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0101_H,进站压力高报,PV,DO3163,DO3163,-9999,0,0,0,1,3162,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0101_L,进站压力低报,PV,DO3164,DO3164,-9999,0,0,0,1,3163,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0101_LL,进站压力低低报,PV,DO3165,DO3165,-9999,0,0,0,1,3164,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0102_MAIN_EN,广汇调压撬进口压力维护值开关,PV,DO3166,DO3166,-9999,0,0,0,1,3165,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0102_HH,广汇调压撬进口压力高高报,PV,DO3167,DO3167,-9999,0,0,0,1,3166,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0102_H,广汇调压撬进口压力高报,PV,DO3168,DO3168,-9999,0,0,0,1,3167,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0102_L,广汇调压撬进口压力低报,PV,DO3169,DO3169,-9999,0,0,0,1,3168,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0102_LL,广汇调压撬进口压力低低报,PV,DO3170,DO3170,-9999,0,0,0,1,3169,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0103_MAIN_EN,至新捷出口压力维护值开关,PV,DO3171,DO3171,-9999,0,0,0,1,3170,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0103_HH,至新捷出口压力高高报,PV,DO3172,DO3172,-9999,0,0,0,1,3171,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0103_H,至新捷出口压力高报,PV,DO3173,DO3173,-9999,0,0,0,1,3172,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0103_L,至新捷出口压力低报,PV,DO3174,DO3174,-9999,0,0,0,1,3173,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0103_LL,至新捷出口压力低低报,PV,DO3175,DO3175,-9999,0,0,0,1,3174,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0104_MAIN_EN,至广汇出口压力维护值开关,PV,DO3176,DO3176,-9999,0,0,0,1,3175,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0104_HH,至广汇出口压力高高报,PV,DO3177,DO3177,-9999,0,0,0,1,3176,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0104_H,至广汇出口压力高报,PV,DO3178,DO3178,-9999,0,0,0,1,3177,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0104_L,至广汇出口压力低报,PV,DO3179,DO3179,-9999,0,0,0,1,3178,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PT0104_LL,至广汇出口压力低低报,PV,DO3180,DO3180,-9999,0,0,0,1,3179,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0101_MAIN_EN,进站温度维护值开关,PV,DO3181,DO3181,-9999,0,0,0,1,3180,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0101_HH,进站温度高高报,PV,DO3182,DO3182,-9999,0,0,0,1,3181,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0101_H,进站温度高报,PV,DO3183,DO3183,-9999,0,0,0,1,3182,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0101_L,进站温度低报,PV,DO3184,DO3184,-9999,0,0,0,1,3183,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0101_LL,进站温度低低报,PV,DO3185,DO3185,-9999,0,0,0,1,3184,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0102_MAIN_EN,至新捷出口温度维护值开关,PV,DO3186,DO3186,-9999,0,0,0,1,3185,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0102_HH,至新捷出口温度高高报,PV,DO3187,DO3187,-9999,0,0,0,1,3186,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0102_H,至新捷出口温度高报,PV,DO3188,DO3188,-9999,0,0,0,1,3187,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0102_L,至新捷出口温度低报,PV,DO3189,DO3189,-9999,0,0,0,1,3188,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0102_LL,至新捷出口温度低低报,PV,DO3190,DO3190,-9999,0,0,0,1,3189,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0103_MAIN_EN,至广汇出口温度维护值开关,PV,DO3191,DO3191,-9999,0,0,0,1,3190,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0103_HH,至广汇出口温度高高报,PV,DO3192,DO3192,-9999,0,0,0,1,3191,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0103_H,至广汇出口温度高报,PV,DO3193,DO3193,-9999,0,0,0,1,3192,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0103_L,至广汇出口温度低报,PV,DO3194,DO3194,-9999,0,0,0,1,3193,0,1,0,0,1,1,2,0
西部片区调压站\,B280902TT0103_LL,至广汇出口温度低低报,PV,DO3195,DO3195,-9999,0,0,0,1,3194,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PDT0101_MAIN_EN,至新捷调压区压差维护值开关,PV,DO3196,DO3196,-9999,0,0,0,1,3195,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PDT0101_HH,至新捷调压区压差高高报,PV,DO3197,DO3197,-9999,0,0,0,1,3196,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PDT0101_H,至新捷调压区压差高报,PV,DO3198,DO3198,-9999,0,0,0,1,3197,0,1,0,0,1,1,2,0
西部片区调压站\,B280902PDT0102_MAIN_EN,至广汇调压区压差维护值开关,PV,DO3199,DO3199,-9999,0,0,0,1,3198,0,1,0,0,1,1,2,0
